time,hash,latitude,longitude,serial,distance,rssi
2019-08-01T14:00:00Z,0fff89885f08417f20aadfdbf62a372277e9085bcd024374b772ecac,60.16531,24.9442,00000000fdda10fe,23.56,-94
2019-08-01T14:00:00Z,144afc51fc2443c7031a2912566eff2ce60226a49d6d2bd7c2923700,60.16544,24.95398,0000000038d83d41,16.1,-89
2019-08-01T14:00:00Z,14c7e1511b70f4dd3359cbece1377aebb4d70531f5489eefe53d7c3c,60.16544,24.95398,0000000038d83d41,29.32,-97
2019-08-01T14:00:00Z,15918569de0a46a8eb56b43d8d39f7fc82619ff1006f00822c85745c,60.17918,24.95141,00000000675d5200,1.88,-65
2019-08-01T14:00:00Z,1e912aba0ec178c15404070f662444fe4225cd9f15de332c8a600c63,60.1638,24.96846,00000000d747f075,13.75,-87
2019-08-01T14:00:00Z,1f1876ad853d5bfcce8600b518b13f628eb750d36e74cef9d15c05eb,60.18203,24.91341,00000000342570c2,18.79,-91
2019-08-01T14:00:00Z,29a5db8c78e553beb48552e1d686a6c7336d9012c50171aed15d6dc5,60.16544,24.95398,0000000038d83d41,16.1,-89
2019-08-01T14:00:00Z,2a564c2145be1e79dc791ddcc01d6e863bd23fadf5f2aba804e81ac8,60.17918,24.95141,00000000675d5200,4.11,-73
2019-08-01T14:00:00Z,2dd6ca2c889266702d554569764346cf583b74b0890b10e00ecd4f82,60.16544,24.95398,0000000038d83d41,20.28,-92
2019-08-01T14:00:00Z,368ee457cdac232c858712c924532440e31edece3a1f1859ce2d9291,60.16531,24.9442,00000000fdda10fe,29.32,-97
2019-08-01T14:00:00Z,36c7b276307366fd2a44e81ea9a0d12e73450b590b563f86350793c0,60.149,24.9843,00000000fffb8cf0,5.91,-77
2019-08-01T14:00:00Z,3ceac4212ebd1b5ccc9285abb39d0a62fbcb96588ed999da3998ff05,60.16762,24.95415,000000006b44cce7,8.38,-81
2019-08-01T14:00:00Z,3e31d73c4a86c06690db628fa06cfb8d49ac7cb8980106bc3063286f,60.18203,24.91341,00000000342570c2,27.28,-96
2019-08-01T14:00:00Z,4de1234054c0ad564da4a96fa45a0531feaa109e9da645e55bf27afc,60.16629,24.95957,00000000fb7600be,12.69,-86
2019-08-01T14:00:00Z,4fbbe542954a881030e6029ffef80f3dc0ad23884b5dbb52f1d8c030,60.16762,24.95415,000000006b44cce7,3.09,-70
2019-08-01T14:00:00Z,58ae6d8351fa3d83239808ff8b2816b8605b20d3dc417c3692d96919,60.16762,24.95415,000000006b44cce7,4.11,-73
2019-08-01T14:00:00Z,5d65719c4cbf045f068d084b72302f447d5fd034413d97d13be00d0e,60.18203,24.91341,00000000342570c2,23.56,-94
2019-08-01T14:00:00Z,62ba3ea518b5e78749f37fcd40a3f18f8059689f1df2d876536785b8,60.17065,24.93641,000000000f4919c9,33.81,-99
2019-08-01T14:00:00Z,660c668edc3b239e521fc8d85ca6f442cec48702a08567ecb7f863d0,60.18203,24.91341,00000000342570c2,25.36,-95
2019-08-01T14:00:00Z,693099b54f1d14b899f005c233a431270bde084ad2fe05abf597743a,60.16544,24.95398,0000000038d83d41,16.1,-89
2019-08-01T14:00:00Z,69fae1506493dbe64fc6bfec10ba410b80e6cdc96fedac017a4e1f84,60.18203,24.91341,00000000342570c2,25.36,-95
2019-08-01T14:00:00Z,6a657079c1bdc8114c289be1ddd83e5846d4279a920d1697b8ff0033,60.18203,24.91341,00000000342570c2,23.56,-94
2019-08-01T14:00:00Z,6d22b751ff5173035dc85c52c3dff0780126adae67fe33dc62dd45ef,60.16531,24.9442,00000000fdda10fe,36.27,-100
2019-08-01T14:00:00Z,82c6befc94d6971eb1922a2935740945fdf6199d2ea6a57483c04595,60.17002,24.94407,000000006b087f40,14.89,-88
2019-08-01T14:00:00Z,87dfaad29a9276ddddb1fa021d3bc23ad14824c1af16f7d87e713689,60.14951,24.92138,0000000006dd41f6,20.28,-92
2019-08-01T14:00:00Z,8b18e8fe091b321c51526f3282bc33db16f8bc0a11891dbc6aeae7de,60.15432,24.9211,0000000019fb59c4,25.36,-95
2019-08-01T14:00:00Z,8c75c3289c84fe4493e1e272a77b615fe1985880c5dc68a7c1a17b53,60.16762,24.95415,000000006b44cce7,9.92,-83
2019-08-01T14:00:00Z,8cc6ddaa460aeae8cc9e8a33f91a01c8cd4c0c8bf8a943210a28c84d,60.1538,24.95595,0000000038bf9618,20.28,-92
2019-08-01T14:00:00Z,8d526241977a41780adfcc4988973ae0cf4edf334ec0ca41ab29ff2d,60.16075,24.95883,00000000f1124bca,31.5,-98
2019-08-01T14:00:00Z,9843c6216661048343a0e49cf3d8aa2883cf77f452666a1c873a1052,60.16448,24.97323,0000000053c6c2be,11.7,-85
2019-08-01T14:00:00Z,a1e3ac5a2348901dd3d74965f5e2a28d945be6f01df758bde5fb7b73,60.16531,24.9442,00000000fdda10fe,29.32,-97
2019-08-01T14:00:00Z,a9da1ee82e3b670e276c26b483dd50f4a6d0c6f77ef82245d3ae6086,60.18203,24.91341,00000000342570c2,31.5,-98
2019-08-01T14:00:00Z,aabbf01ed2924c2e38cb017a557081298b517fcda43b5b55c657abac,60.16762,24.95415,000000006b44cce7,9.92,-83
2019-08-01T14:00:00Z,b33ae7715d6d2571066655c2c8954a5a364b5601869047de83410d9f,60.16629,24.95957,00000000fb7600be,25.36,-95
2019-08-01T14:00:00Z,b9c384aab2ef827ede97f420293d0809640562a9609cabc4740cd753,60.17002,24.94407,000000006b087f40,5.91,-77
2019-08-01T14:00:00Z,c11ff48f776518b93d0a8843a50c0ce05d80059e6ac961f80d3e4572,60.15432,24.9211,0000000019fb59c4,17.4,-90
2019-08-01T14:00:00Z,c129dd128e6475a9f19e37c93fa734358684320e32cd565e787b0fcb,60.16544,24.95398,0000000038d83d41,16.1,-89
2019-08-01T14:00:00Z,c40c37def6bf11a63a2556519a7c6233fd417cdeea2cf14f28e7c42c,60.16531,24.9442,00000000fdda10fe,16.1,-89
2019-08-01T14:00:00Z,cf05623e4d87ce0906c0b0b7dbf53aacc1228016cd27c341228b6e76,60.18203,24.91341,00000000342570c2,20.28,-92
2019-08-01T14:00:00Z,db6a3f56e96452254d928c600be285371a6d43c5acb57bc4c1a3315b,60.16762,24.95415,000000006b44cce7,5.41,-76
2019-08-01T14:00:00Z,dd2c9c82cf3737146294aff6f814a1349fb0bc4bedf518715dacbe8f,60.18203,24.91341,00000000342570c2,11.7,-85
2019-08-01T14:00:00Z,e93705a5eeda7e5ad6cea356c13212f30c2327df19c257775f7fb6d6,60.537787,25.113245,00000000b7334f91,8.38,-81
2019-08-01T14:00:00Z,eef023ec529112658693acde40fc9feaf7a94d3faf0de6db285c37c9,60.16448,24.97323,0000000053c6c2be,13.75,-87
2019-08-01T14:00:00Z,f088630d7476dae7d4b7e2bb1f10575f2c89acb4b6e061f3d57c2b40,60.16531,24.9442,00000000fdda10fe,17.4,-90
2019-08-01T14:00:00Z,fc4f3a44235f1cfc7b53f14ba2da599976a5a0a220d23b852688e485,60.17919,24.95181,000000007b5207b6,20.28,-92
2019-08-01T14:00:00Z,002c1331793cba3968866f90b6fb4664c392457a186d2ce540d7adee,60.16762,24.95415,000000006b44cce7,21.87,-93
2019-08-01T14:00:00Z,011450dccd1ffb422ab5cc78a8a5748ef14ff872e47d26ea1a5d1d4f,60.16629,24.95957,00000000fb7600be,17.4,-90
2019-08-01T14:00:00Z,011629cd10a374f6e44bd44ed5e50bc7611326b9354e90b5a0d7d24d,60.16762,24.95415,000000006b44cce7,7.05,-79
2019-08-01T14:00:00Z,014cbb3829e55daeef61aff04fcee4aafab88af6b8b5dc2dfcfed417,60.16762,24.95415,000000006b44cce7,9.92,-83
2019-08-01T14:00:00Z,0150090cf131358403aa113820ec8a00a22d2f90dfe8e17ad322d5d4,60.16897,24.95222,00000000aa852af1,13.75,-87
2019-08-01T14:00:00Z,038f4520760ed825030c87fa8e54718e6aa98cceeb81c099e316fd6d,60.1638,24.96846,00000000d747f075,1.38,-62
2019-08-01T14:00:00Z,056b91fe814e1e9ebbc8216e3814fa7eed235b0bedeefb8a728ec3d5,60.16829,24.94214,00000000afef4555,5.91,-77
2019-08-01T14:00:00Z,059473f0cda7c980b0d01ffb68ac679849cedaa8450cfbc81d6530d5,60.16897,24.95222,00000000aa852af1,10.78,-84
2019-08-01T14:00:00Z,05f061ae6ede063f5d5416ae2335db012c3ad563d6cd6edb9d520408,60.16544,24.95398,0000000038d83d41,25.36,-95
2019-08-01T14:00:00Z,062e906a8eb0f529509242b38cd2c6e1560e6e96731eb7263787cecb,60.16448,24.97323,0000000053c6c2be,23.56,-94
2019-08-01T14:00:00Z,064d9d0861801eb2321024a91397bf1c9707fb760f67e547f4e3a14d,60.16531,24.9442,00000000fdda10fe,23.56,-94
2019-08-01T14:00:00Z,06b69c47cf4a59855dca4e5c1a6cb19955d3a882aeaed1e9b1aa6df5,60.16762,24.95415,000000006b44cce7,3.4,-71
2019-08-01T14:00:00Z,072a6e9ba9382b47525d4019885fbd5e81a20a52acb97992cdfdf76d,60.16762,24.95415,000000006b44cce7,7.69,-80
2019-08-01T14:00:00Z,095bcef8882c2b20e3427c17a7e6e49d89ce1ae35142eaeef487751a,60.16829,24.94214,00000000afef4555,21.87,-93
2019-08-01T14:00:00Z,0a768957130fc1f54caf9a8c0daf6aa5277ae43751d4b132abacbcab,60.17918,24.95141,00000000675d5200,23.56,-94
2019-08-01T14:00:00Z,0b0dec7fbd6cb57c796168e8aa54ddabe8a461204ab8ffdf54fbfa08,60.16448,24.97323,0000000053c6c2be,12.69,-86
2019-08-01T14:00:00Z,0e1fdd1f26ab633862a87024f027776b1ae4f049e68871b8a7a8ed86,60.16829,24.94214,00000000afef4555,9.12,-82
2019-08-01T14:00:00Z,0eeb2e2cfbe46bdd3eb96a2a9cf1ba5e683be000d29770b90cb8c6b0,60.16829,24.94214,00000000afef4555,13.75,-87
2019-08-01T14:00:00Z,114a900cd5c406169fc7b4c465ffca590c553f58e931486e06650d4a,60.16762,24.95415,000000006b44cce7,11.7,-85
2019-08-01T14:00:00Z,11a342bc0f91242cabdf773958e237944cb9ab1341d662616af72315,60.16897,24.95222,00000000aa852af1,23.56,-94
2019-08-01T14:00:00Z,1227283f04239a04de32ac082949be7f4f4379561b224c4637f76b02,60.18203,24.91341,00000000342570c2,21.87,-93
2019-08-01T14:00:00Z,134a2a708ba36aaccba693fb7964d10db1e855d4af7646ee01d8971f,60.16075,24.95883,00000000f1124bca,31.5,-98
2019-08-01T14:00:00Z,145cc85d55a2b15fd808d0eb082807e5ca4a502f7e77f838fec367a3,60.16829,24.94214,00000000afef4555,23.56,-94
2019-08-01T14:00:00Z,1626b668a32473d218232a226a6053ea47e869656b72c3bddd507687,60.17065,24.93641,000000000f4919c9,8.38,-81
2019-08-01T14:00:00Z,184541d610d1aba9cf895c7891c45da3a0f91e59d2a69b7fbfbb9882,60.1538,24.95595,0000000038bf9618,21.87,-93
2019-08-01T14:00:00Z,1849ce4da21034bd9b8267efa5c9a69c220def6081e889d5752e77c6,60.16762,24.95415,000000006b44cce7,17.4,-90
2019-08-01T14:00:00Z,188b406fe462225899bad820203ad266415ab6eb19306f3c3ebd9c7a,60.1538,24.95595,0000000038bf9618,27.28,-96
2019-08-01T14:00:00Z,1a0f279a6725a73a2fd6c918d39966f111ee9357e0eeadaed83097c3,60.16544,24.95398,0000000038d83d41,17.4,-90
2019-08-01T14:00:00Z,1ae873b36ff1b809a48d144d2d8fd73502bdae9616c029159cf9bf0d,60.16448,24.97323,0000000053c6c2be,8.38,-81
2019-08-01T14:00:00Z,1b8ab5bed2f2d2b85bab892fff3339dd04e84236a5b8221d8f4ffe67,60.16829,24.94214,00000000afef4555,8.38,-81
2019-08-01T14:00:00Z,1b9a7eb7db76e60c07b751bd65b1bb6450f8717f7968740dcdb93836,60.16897,24.95222,00000000aa852af1,21.87,-93
