time,hash,latitude,longitude,serial,distance,rssi
2019-08-01T13:15:00Z,05e9970b8f0fdc2c3708524115e7112503c0fc6180b4f5b042038c60,60.15432,24.9211,0000000019fb59c4,13.75,-87
2019-08-01T13:15:00Z,0624fe3daeb0fd28855501db1bee2bf233b143b314fc2cab13cf87f5,60.435598,22.246206,00000000378bd7ea,17.4,-90
2019-08-01T13:15:00Z,0fff89885f08417f20aadfdbf62a372277e9085bcd024374b772ecac,60.16531,24.9442,00000000fdda10fe,17.4,-90
2019-08-01T13:15:00Z,144afc51fc2443c7031a2912566eff2ce60226a49d6d2bd7c2923700,60.16544,24.95398,0000000038d83d41,14.89,-88
2019-08-01T13:15:00Z,15918569de0a46a8eb56b43d8d39f7fc82619ff1006f00822c85745c,60.17918,24.95141,00000000675d5200,1.54,-63
2019-08-01T13:15:00Z,20fe5bb3a8f51255bc9860a60d55937a86e2ad0f8fcc53f5cf0d6bf1,60.435598,22.246206,00000000378bd7ea,16.1,-89
2019-08-01T13:15:00Z,24d2f2ddd119efcb13abb0ab2cb53850e9788b6713967ccca4d6e071,60.16897,24.95222,00000000aa852af1,18.79,-91
2019-08-01T13:15:00Z,4667ad9a5bbd06a7ae36527495c7ad65e5f7c50c2f311b25f1002975,60.16629,24.95957,00000000fb7600be,20.28,-92
2019-08-01T13:15:00Z,4de1234054c0ad564da4a96fa45a0531feaa109e9da645e55bf27afc,60.16629,24.95957,00000000fb7600be,12.69,-86
2019-08-01T13:15:00Z,541cdde5332ed33dd6e2f47bc3091d8251b2992ea15305b741d7fa7c,60.16531,24.9442,00000000fdda10fe,27.28,-96
2019-08-01T13:15:00Z,55f57fdf7fee8ac08f26e2e2f01b8669825dc3775f315980f1e68937,60.1538,24.95595,0000000038bf9618,17.4,-90
2019-08-01T13:15:00Z,5d65719c4cbf045f068d084b72302f447d5fd034413d97d13be00d0e,60.18203,24.91341,00000000342570c2,20.28,-92
2019-08-01T13:15:00Z,62ba3ea518b5e78749f37fcd40a3f18f8059689f1df2d876536785b8,60.17065,24.93641,000000000f4919c9,27.28,-96
2019-08-01T13:15:00Z,660c668edc3b239e521fc8d85ca6f442cec48702a08567ecb7f863d0,60.18203,24.91341,00000000342570c2,23.56,-94
2019-08-01T13:15:00Z,6a657079c1bdc8114c289be1ddd83e5846d4279a920d1697b8ff0033,60.18203,24.91341,00000000342570c2,13.75,-87
2019-08-01T13:15:00Z,6bc838096806d076bb45cfa041f4e6696c7a32170556ae75888c7fff,60.16531,24.9442,00000000fdda10fe,18.79,-91
